sales_sk,invoice_dt_sk,customer_no,cases,unit_price,ext_net,ext_cost,ext_participation,cqd_amt,order_no,invoice_no,site,item_no,sales_channel,order_status,shipment_date,delivery_date,customer_type,sales_rep_id
16-0000002-0001819-1-010502,2022-11-29,16-0000002,40,22,10560,9504,190,855,1806,1819,16,10502,In-Store,Pending,-,-,Returning,2023
38-0000002-0004142-1-010502,2023-02-16,38-0000002,40,22,10560,9504,950,760,4129,4142,38,10502,Online,Completed,2024-02-04,2024-02-08,Business,2024
01-0000036-0008082-1-010502,2023-06-03,01-0000036,9,22,2376,2139,64,128,8069,8082,1,10502,Mobile App,Canceled,-,-,New,2025
23-0000001-0006335-1-010502,2024-01-06,23-0000001,9,22,2376,2139,214,214,6322,6335,23,10502,In-Store,Completed,2024-02-06,2024-02-10,VIP,2026
01-0000001-0001915-1-010502,2022-07-10,01-0000001,41,22,10824,9742,195,682,1902,1915,1,10502,Online,Completed,2024-02-07,2024-02-11,Returning,2027
01-0000001-0007934-1-010502,2022-01-12,01-0000001,10,22,2640,2376,95,190,7921,7934,1,10502,Online,Returned,2024-02-08,2024-02-12,New,2028
37-0000001-0006490-1-010502,2022-11-10,37-0000001,10,22,2640,2376,71,190,6477,6490,37,10502,Mobile App,Completed,2024-02-09,2024-02-13,VIP,2029
39-0000002-0005826-1-010502,2023-06-02,39-0000002,10,22,2640,2376,119,214,5813,5826,39,10502,In-Store,Completed,2024-02-10,2024-02-14,Business,2030
38-0000001-0007733-1-010502,2023-11-08,38-0000001,10,22,2640,2376,119,238,7720,7733,38,10502,Online,Completed,2024-02-12,2024-02-16,Returning,2031
02-0000002-0001382-1-010502,2022-05-06,02-0000002,42,22,11088,9980,699,798,1369,1382,2,10502,Mobile App,Completed,2024-02-13,2024-02-17,New,2032
29-0000001-0004379-1-010502,2023-03-26,29-0000001,42,22,11088,9980,499,998,4366,4379,29,10502,In-Store,Canceled,-,-,VIP,2033
22-0000001-0005177-1-010502,2022-03-23,22-0000001,11,22,2904,2614,183,209,5164,5177,22,10502,Online,Completed,2024-02-15,2024-02-19,Business,2034
09-0000002-0002983-1-010502,2023-02-17,09-0000002,11,22,2904,2614,131,183,2970,2983,9,10502,Mobile App,Completed,2024-02-16,2024-02-20,Returning,2035
08-0000001-0003114-1-010502,2023-03-05,08-0000001,11,22,2904,2614,78,209,3101,3114,8,10502,In-Store,Pending,-,-,New,2036
37-0000001-0004464-1-010502,2024-01-16,37-0000001,11,22,2904,2614,131,183,4451,4464,37,10502,Online,Completed,2024-02-18,2024-02-22,VIP,2037
21-0000005-0000829-1-010502,2024-02-05,21-0000005,11,22,2904,2614,183,131,818,829,21,10502,Mobile App,Completed,2024-02-19,2024-02-23,Business,2038
35-0000001-0006107-1-010502,2022-03-04,35-0000001,12,22,3168,2852,57,200,6094,6107,35,10502,In-Store,Returned,2024-02-20,2024-02-24,Returning,2039
01-0000058-0002398-1-010502,2022-11-30,01-0000058,12,22,3168,2852,143,171,2385,2398,1,10502,Online,Completed,2024-02-21,2024-02-25,New,2040
21-0000005-0000902-1-010502,2023-05-23,21-0000005,12,22,3168,2852,114,200,891,902,21,10502,Mobile App,Completed,2024-02-22,2024-02-26,VIP,2041
39-0000002-0003797-1-010502,2022-04-05,39-0000002,44,22,11616,10455,314,732,3784,3797,39,10502,In-Store,Completed,2024-02-23,2024-02-27,Business,2042
28-0000001-0003604-1-010502,2022-07-10,28-0000001,44,22,11616,10455,418,1046,3591,3604,28,10502,Online,Canceled,-,-,Returning,2043
12-0000003-0003355-1-010502,2022-06-07,12-0000003,13,22,3432,3089,62,216,3342,3355,12,10502,Mobile App,Completed,2024-02-25,2024-02-29,New,2044
01-0000005-0005245-1-010502,2022-11-06,01-0000005,13,22,3432,3089,216,309,5232,5245,1,10502,In-Store,Completed,2024-02-26,2024-03-01,VIP,2045
21-0000006-0001004-1-010502,2022-04-14,21-0000006,45,22,11880,10692,214,1069,993,1004,21,10502,Online,Completed,2024-02-01,2024-02-05,New,2021
08-0000005-0003088-1-010502,2023-07-15,08-0000005,45,22,11880,10692,214,1069,3075,3088,8,10502,Mobile App,Completed,2024-02-02,2024-02-06,VIP,2022
32-0000001-0005879-1-010502,2022-05-18,32-0000001,14,22,3696,3327,166,266,5866,5879,32,10502,In-Store,Pending,-,-,Returning,2023
12-0000010-0001742-1-010502,2022-11-11,12-0000010,14,22,3696,3327,233,266,1729,1742,12,10502,Online,Completed,2024-02-04,2024-02-08,Business,2024
12-0000010-0001540-1-010502,2023-09-27,12-0000010,14,22,3696,3327,333,200,1527,1540,12,10502,Mobile App,Canceled,-,-,New,2025
01-0000023-0002276-1-010502,2024-01-15,01-0000023,14,22,3696,3327,233,166,2263,2276,1,10502,In-Store,Completed,2024-02-06,2024-02-10,VIP,2026
22-0000001-0006286-1-010502,2022-01-24,22-0000001,46,22,12144,10930,219,765,6273,6286,22,10502,Online,Completed,2024-02-07,2024-02-11,Returning,2027
17-0000002-0003163-1-010502,2022-11-14,17-0000002,46,22,12144,10930,547,547,3150,3163,17,10502,Online,Returned,2024-02-08,2024-02-12,New,2028
01-0000005-0001986-1-010502,2022-07-11,01-0000005,15,22,3960,3564,71,356,1973,1986,1,10502,Mobile App,Completed,2024-02-09,2024-02-13,VIP,2029
12-0000010-0003345-1-010502,2023-06-24,12-0000010,15,22,3960,3564,107,249,3332,3345,12,10502,In-Store,Completed,2024-02-10,2024-02-14,Business,2030
36-0000001-0003877-1-010502,2023-11-16,36-0000001,15,22,3960,3564,107,285,3864,3877,36,10502,Online,Completed,2024-02-12,2024-02-16,Returning,2031
02-0000002-0001420-1-010502,2023-11-30,02-0000002,47,22,12408,11168,782,893,1407,1420,2,10502,Mobile App,Completed,2024-02-13,2024-02-17,New,2032
08-0000004-0000260-1-010502,2022-02-13,08-0000004,16,22,4224,3802,76,380,255,260,8,10502,In-Store,Canceled,-,-,VIP,2033
32-0000002-0003682-1-010502,2023-10-06,32-0000002,16,22,4224,3802,190,228,3669,3682,32,10502,Online,Completed,2024-02-15,2024-02-19,Business,2034
14-0000001-0004396-1-010502,2022-04-06,14-0000001,48,22,12672,11405,798,912,4383,4396,14,10502,Mobile App,Completed,2024-02-16,2024-02-20,Returning,2035
32-0000004-0003692-1-010502,2022-10-01,32-0000004,48,22,12672,11405,228,684,3679,3692,32,10502,In-Store,Pending,-,-,New,2036
13-0000001-0005691-1-010502,2022-07-26,13-0000001,17,22,4488,4040,283,364,5678,5691,13,10502,Online,Completed,2024-02-18,2024-02-22,VIP,2037
34-0000005-0004175-1-010502,2023-07-15,34-0000005,17,22,4488,4040,404,364,4162,4175,34,10502,Mobile App,Completed,2024-02-19,2024-02-23,Business,2038
03-0000001-0001437-1-010502,2022-09-04,03-0000001,49,22,12936,11643,466,815,1424,1437,3,10502,In-Store,Returned,2024-02-20,2024-02-24,Returning,2039
17-0000002-0003244-1-010502,2022-04-19,17-0000002,18,22,4752,4277,171,385,3231,3244,17,10502,Online,Completed,2024-02-21,2024-02-25,New,2040
34-0000003-0000404-1-010502,2022-11-13,34-0000003,18,22,4752,4277,171,385,399,404,34,10502,Mobile App,Completed,2024-02-22,2024-02-26,VIP,2041
01-0000041-0002359-1-010502,2023-07-03,01-0000041,18,22,4752,4277,128,342,2346,2359,1,10502,In-Store,Completed,2024-02-23,2024-02-27,Business,2042
37-0000001-0004054-1-010502,2022-02-06,37-0000001,19,22,5016,4515,226,316,4041,4054,37,10502,Online,Canceled,-,-,Returning,2043
18-0000006-0000605-1-010502,2022-08-07,18-0000006,19,22,5016,4515,90,452,594,605,18,10502,Mobile App,Completed,2024-02-25,2024-02-29,New,2044
12-0000010-0001671-1-010502,2022-12-20,12-0000010,19,22,5016,4515,181,316,1658,1671,12,10502,In-Store,Completed,2024-02-26,2024-03-01,VIP,2045
18-0000008-0000722-1-010502,2023-05-24,18-0000008,19,22,5016,4515,226,452,711,722,18,10502,Online,Completed,2024-02-27,2024-03-03,Business,2046
05-0000001-0002973-1-010502,2023-11-14,05-0000001,19,22,5016,4515,90,361,2960,2973,5,10502,Mobile App,Completed,2024-02-28,2024-03-04,Returning,2047
09-0000001-0006655-1-010502,2022-10-25,09-0000001,20,22,5280,4752,190,285,6642,6655,9,10502,In-Store,Pending,-,-,New,2048
19-0000001-0006634-1-010502,2023-01-26,19-0000001,21,22,5544,4990,200,449,6621,6634,19,10502,Online,Completed,2024-03-02,2024-03-06,VIP,2049
38-0000002-0007685-1-010502,2023-11-17,38-0000002,21,22,5544,4990,499,399,7672,7685,38,10502,Mobile App,Completed,2024-03-03,2024-03-07,Business,2050
01-0000007-0002017-1-010502,2022-10-18,01-0000007,22,22,5808,5228,157,523,2004,2017,1,10502,Online,Completed,2024-01-02,2024-01-05,Returning,2001
05-0000001-0006475-1-010502,2023-07-03,05-0000001,22,22,5808,5228,523,314,6462,6475,5,10502,Mobile App,Completed,2024-01-04,2024-01-07,New,2002
24-0000002-0000376-1-010502,2023-01-05,24-0000002,23,22,6072,5465,164,383,371,376,24,10502,In-Store,Completed,2024-01-05,2024-01-09,VIP,2003
01-0000018-0002139-1-010502,2023-01-14,01-0000018,23,22,6072,5465,109,492,2126,2139,1,10502,In-Store,Completed,2024-01-07,2024-01-10,Returning,2001
38-0000001-0004135-1-010502,2023-12-02,38-0000001,23,22,6072,5465,273,547,4122,4135,38,10502,Online,Completed,2024-01-08,2024-01-12,New,2005
38-0000002-0003823-1-010502,2022-10-31,38-0000002,24,22,6336,5703,228,456,3810,3823,38,10502,Mobile App,Completed,2024-01-09,2024-01-13,VIP,2006
01-0000007-0005146-1-010502,2023-06-01,01-0000007,24,22,6336,5703,171,285,5133,5146,1,10502,Online,Canceled,-,-,Business,2007
01-0000001-0001924-1-010502,2023-07-21,01-0000001,24,22,6336,5703,114,285,1911,1924,1,10502,In-Store,Completed,2024-01-12,2024-01-15,Returning,2008
01-0000001-0005012-1-010502,2023-12-16,01-0000001,24,22,6336,5703,570,513,4999,5012,1,10502,In-Store,Completed,2024-01-13,2024-01-17,New,2009
02-0000003-0004652-1-010502,2022-06-06,02-0000003,25,22,6600,5940,297,475,4639,4652,2,10502,Online,Completed,2024-01-15,2024-01-18,VIP,2010
01-0000005-0006839-1-010502,2022-07-05,01-0000005,25,22,6600,5940,119,356,6826,6839,1,10502,Mobile App,Pending,-,-,Returning,2011
18-0000005-0003400-1-010502,2023-03-31,18-0000005,25,22,6600,5940,119,594,3387,3400,18,10502,Online,Completed,2024-01-18,2024-01-22,Business,2012
01-0000009-0000450-1-010502,2023-08-31,01-0000009,25,22,6600,5940,416,297,441,450,1,10502,In-Store,Completed,2024-01-19,2024-01-23,VIP,2013
12-0000002-0003393-1-010502,2023-09-24,12-0000002,25,22,6600,5940,297,416,3380,3393,12,10502,Online,Returned,2024-01-21,2024-01-24,Returning,2014
03-0000001-0001498-1-010502,2024-01-21,03-0000001,25,22,6600,5940,594,475,1485,1498,3,10502,Mobile App,Completed,2024-01-22,2024-01-26,New,2015
28-0000002-0007418-1-010502,2022-04-30,28-0000002,27,22,7128,6416,449,321,7405,7418,28,10502,Online,Completed,2024-01-24,2024-01-28,Returning,2016
01-0000001-0005749-1-010502,2022-12-29,01-0000001,27,22,7128,6416,257,385,5736,5749,1,10502,In-Store,Completed,2024-01-25,2024-01-29,VIP,2017
04-0000001-0005760-1-010502,2023-01-19,04-0000001,27,22,7128,6416,192,385,5747,5760,4,10502,In-Store,Completed,2024-01-26,2024-01-30,New,2018
01-0000021-0002210-1-010502,2023-02-06,01-0000021,27,22,7128,6416,128,642,2197,2210,1,10502,Online,Completed,2024-01-28,2024-02-01,Business,2019
25-0000001-0007018-1-010502,2023-08-05,25-0000001,27,22,7128,6416,449,385,7005,7018,25,10502,Mobile App,Completed,2024-01-29,2024-02-02,Returning,2020
21-0000004-0006334-1-010502,2022-09-12,21-0000004,28,22,7392,6653,333,466,6321,6334,21,10502,Online,Completed,2024-02-01,2024-02-05,New,2021
32-0000001-0005506-1-010502,2023-02-07,32-0000001,28,22,7392,6653,665,466,5493,5506,32,10502,Mobile App,Completed,2024-02-02,2024-02-06,VIP,2022
01-0000042-0000541-1-010502,2023-09-24,01-0000042,28,22,7392,6653,665,599,530,541,1,10502,In-Store,Pending,-,-,Returning,2023
38-0000001-0003728-1-010502,2022-05-07,38-0000001,29,22,7656,6891,482,482,3715,3728,38,10502,Online,Completed,2024-02-04,2024-02-08,Business,2024
01-0000005-0006488-1-010502,2022-11-07,01-0000005,29,22,7656,6891,689,689,6475,6488,1,10502,Mobile App,Canceled,-,-,New,2025
04-0000001-0007589-1-010502,2023-03-26,04-0000001,29,22,7656,6891,138,620,7576,7589,4,10502,In-Store,Completed,2024-02-06,2024-02-10,VIP,2026
11-0000001-0006844-1-010502,2023-11-13,11-0000001,29,22,7656,6891,138,413,6831,6844,11,10502,Online,Completed,2024-02-07,2024-02-11,Returning,2027
22-0000001-0006908-1-010502,2023-11-26,22-0000001,29,22,7656,6891,138,413,6895,6908,22,10502,Online,Returned,2024-02-08,2024-02-12,New,2028
17-0000002-0006009-1-010502,2023-07-24,17-0000002,30,22,7920,7128,143,570,5996,6009,17,10502,Mobile App,Completed,2024-02-09,2024-02-13,VIP,2029
05-0000001-0005766-1-010502,2023-10-25,05-0000001,30,22,7920,7128,214,713,5753,5766,5,10502,In-Store,Completed,2024-02-10,2024-02-14,Business,2030
01-0000006-0008071-1-010502,2023-12-27,01-0000006,30,22,7920,7128,285,428,8058,8071,1,10502,Online,Completed,2024-02-12,2024-02-16,Returning,2031
03-0000001-0001494-1-010502,2022-01-24,03-0000001,31,22,8184,7366,516,737,1481,1494,3,10502,Mobile App,Completed,2024-02-13,2024-02-17,New,2032
01-0000012-0000531-1-010502,2023-08-27,01-0000012,31,22,8184,7366,737,442,520,531,1,10502,In-Store,Canceled,-,-,VIP,2033
21-0000005-0000803-1-010502,2024-01-15,21-0000005,31,22,8184,7366,295,442,792,803,21,10502,Online,Completed,2024-02-15,2024-02-19,Business,2034
12-0000010-0001772-1-010503,2022-09-04,12-0000010,32,38,14592,13133,263,919,1759,1772,12,10503,Mobile App,Completed,2024-02-16,2024-02-20,Returning,2035
06-0000001-0005470-1-010503,2022-10-04,06-0000001,32,38,14592,13133,263,1313,5457,5470,6,10503,In-Store,Pending,-,-,New,2036
35-0000001-0004195-1-010503,2023-05-17,35-0000001,32,38,14592,13133,657,1313,4182,4195,35,10503,Online,Completed,2024-02-18,2024-02-22,VIP,2037
04-0000004-0002649-1-010503,2022-05-12,04-0000004,9,38,4104,3694,259,369,2636,2649,4,10503,Mobile App,Completed,2024-02-19,2024-02-23,Business,2038
01-0000034-0000141-1-010503,2022-11-25,01-0000034,9,38,4104,3694,369,296,137,141,1,10503,In-Store,Returned,2024-02-20,2024-02-24,Returning,2039
11-0000001-0006099-1-010503,2024-01-24,11-0000001,9,38,4104,3694,259,185,6086,6099,11,10503,Online,Completed,2024-02-21,2024-02-25,New,2040
28-0000002-0006862-1-010503,2022-08-30,28-0000002,41,38,18696,16827,1683,1010,6849,6862,28,10503,Mobile App,Completed,2024-02-22,2024-02-26,VIP,2041
12-0000010-0001701-1-010503,2023-01-25,12-0000010,41,38,18696,16827,337,1346,1688,1701,12,10503,In-Store,Completed,2024-02-23,2024-02-27,Business,2042
02-0000003-0002494-1-010503,2023-12-18,02-0000003,41,38,18696,16827,1178,1010,2481,2494,2,10503,Online,Canceled,-,-,Returning,2043
39-0000001-0004381-1-010503,2023-01-22,39-0000001,18,38,8208,7388,222,665,4368,4381,39,10503,Mobile App,Completed,2024-02-25,2024-02-29,New,2044
02-0000003-0006990-1-010503,2023-01-01,02-0000003,50,38,22800,20520,616,1847,6977,6990,2,10503,In-Store,Completed,2024-02-26,2024-03-01,VIP,2045
25-0000001-0006840-1-010503,2023-09-25,25-0000001,50,38,22800,20520,2052,1026,6827,6840,25,10503,Online,Completed,2024-02-01,2024-02-05,New,2021
04-0000007-0000235-1-010503,2022-04-13,04-0000007,27,38,12312,11081,332,997,230,235,4,10503,Mobile App,Completed,2024-02-02,2024-02-06,VIP,2022
29-0000004-0004502-1-010503,2022-05-08,29-0000004,27,38,12312,11081,222,886,4489,4502,29,10503,In-Store,Pending,-,-,Returning,2023
39-0000001-0006605-1-010503,2022-10-04,39-0000001,27,38,12312,11081,332,776,6592,6605,39,10503,Online,Completed,2024-02-04,2024-02-08,Business,2024
01-0000002-0007895-1-010503,2023-07-19,01-0000002,27,38,12312,11081,443,1108,7882,7895,1,10503,Mobile App,Canceled,-,-,New,2025
21-0000005-0000848-1-010503,2023-09-03,21-0000005,27,38,12312,11081,554,554,837,848,21,10503,In-Store,Completed,2024-02-06,2024-02-10,VIP,2026
12-0000010-0001781-1-010503,2022-05-08,12-0000010,4,38,1824,1642,49,99,1768,1781,12,10503,Online,Completed,2024-02-07,2024-02-11,Returning,2027
04-0000001-0004784-1-010503,2023-11-03,04-0000001,4,38,1824,1642,115,131,4771,4784,4,10503,Online,Returned,2024-02-08,2024-02-12,New,2028
01-0000023-0002274-1-010503,2022-08-04,01-0000023,36,38,16416,14775,739,1330,2261,2274,1,10503,Mobile App,Completed,2024-02-09,2024-02-13,VIP,2029
07-0000001-0004927-1-010503,2022-08-31,07-0000001,36,38,16416,14775,591,1034,4914,4927,7,10503,In-Store,Completed,2024-02-10,2024-02-14,Business,2030
04-0000008-0002840-1-010503,2022-04-06,04-0000008,13,38,5928,5336,534,427,2827,2840,4,10503,Online,Completed,2024-02-12,2024-02-16,Returning,2031
35-0000001-0004164-1-010503,2023-08-19,35-0000001,13,38,5928,5336,267,374,4151,4164,35,10503,Mobile App,Completed,2024-02-13,2024-02-17,New,2032
21-0000006-0000999-1-010503,2022-04-13,21-0000006,45,38,20520,18468,1293,1847,988,999,21,10503,In-Store,Canceled,-,-,VIP,2033
02-0000004-0002429-1-010503,2023-08-11,02-0000004,45,38,20520,18468,1847,1847,2416,2429,2,10503,Online,Completed,2024-02-15,2024-02-19,Business,2034
01-0000005-0004642-1-010503,2023-12-08,01-0000005,45,38,20520,18468,1847,1293,4629,4642,1,10503,Mobile App,Completed,2024-02-16,2024-02-20,Returning,2035
02-0000001-0001350-1-010503,2023-05-03,02-0000001,22,38,10032,9029,271,813,1337,1350,2,10503,In-Store,Pending,-,-,New,2036
21-0000003-0005247-1-010503,2022-11-27,21-0000003,31,38,14136,12723,254,891,5234,5247,21,10503,Online,Completed,2024-02-18,2024-02-22,VIP,2037
38-0000001-0007911-1-010503,2024-02-05,38-0000001,31,38,14136,12723,509,1272,7898,7911,38,10503,Mobile App,Completed,2024-02-19,2024-02-23,Business,2038
18-0000001-0005574-1-010503,2022-10-21,18-0000001,8,38,3648,3284,230,230,5561,5574,18,10503,In-Store,Returned,2024-02-20,2024-02-24,Returning,2039
24-0000001-0007306-1-010503,2023-05-07,24-0000001,40,38,18240,16416,1149,985,7293,7306,24,10503,Online,Completed,2024-02-21,2024-02-25,New,2040
21-0000006-0001123-1-010503,2023-10-17,21-0000006,40,38,18240,16416,821,821,1112,1123,21,10503,Mobile App,Completed,2024-02-22,2024-02-26,VIP,2041
22-0000001-0007861-1-010503,2023-11-06,22-0000001,40,38,18240,16416,1149,985,7848,7861,22,10503,In-Store,Completed,2024-02-23,2024-02-27,Business,2042
34-0000006-0003937-1-010503,2023-11-16,34-0000006,40,38,18240,16416,657,1477,3924,3937,34,10503,Online,Canceled,-,-,Returning,2043
29-0000004-0005546-1-010503,2022-05-03,29-0000004,17,38,7752,6977,140,488,5533,5546,29,10503,Mobile App,Completed,2024-02-25,2024-02-29,New,2044
29-0000003-0005563-1-010503,2022-03-20,29-0000003,26,38,11856,10671,747,1067,5550,5563,29,10503,In-Store,Completed,2024-02-26,2024-03-01,VIP,2045
17-0000001-0001879-1-010503,2022-03-19,17-0000001,26,38,11856,10671,534,534,1866,1879,17,10503,Online,Completed,2024-02-27,2024-03-03,Business,2046
35-0000001-0004152-1-010503,2022-10-06,35-0000001,26,38,11856,10671,320,854,4139,4152,35,10503,Mobile App,Completed,2024-02-28,2024-03-04,Returning,2047
01-0000048-0004603-1-010503,2022-07-30,01-0000048,3,38,1368,1232,37,123,4590,4603,1,10503,In-Store,Pending,-,-,New,2048
12-0000001-0004599-1-010503,2023-01-15,12-0000001,3,38,1368,1232,37,111,4586,4599,12,10503,Online,Completed,2024-03-02,2024-03-06,VIP,2049
07-0000001-0008060-1-010503,2024-02-12,07-0000001,3,38,1368,1232,37,123,8047,8060,7,10503,Mobile App,Completed,2024-03-03,2024-03-07,Business,2050
37-0000001-0005266-1-010503,2022-02-02,37-0000001,35,38,15960,14364,287,1293,5253,5266,37,10503,Online,Completed,2024-01-02,2024-01-05,Returning,2001
29-0000002-0007506-1-010503,2022-07-10,29-0000002,35,38,15960,14364,287,1005,7493,7506,29,10503,Mobile App,Completed,2024-01-04,2024-01-07,New,2002
01-0000028-0000061-1-010503,2022-12-31,01-0000028,35,38,15960,14364,575,1436,58,61,1,10503,In-Store,Completed,2024-01-05,2024-01-09,VIP,2003
08-0000001-0005379-1-010503,2023-01-26,08-0000001,35,38,15960,14364,287,718,5366,5379,8,10503,In-Store,Completed,2024-01-07,2024-01-10,Returning,2001
01-0000021-0002227-1-010503,2023-06-27,01-0000021,35,38,15960,14364,575,1436,2214,2227,1,10503,Online,Completed,2024-01-08,2024-01-12,New,2005
01-0000005-0006883-1-010503,2024-01-10,01-0000005,35,38,15960,14364,575,1149,6870,6883,1,10503,Mobile App,Completed,2024-01-09,2024-01-13,VIP,2006
07-0000001-0007064-1-010503,2023-04-07,07-0000001,12,38,5472,4925,148,394,7051,7064,7,10503,Online,Canceled,-,-,Business,2007
29-0000003-0004841-1-010503,2023-11-25,29-0000003,12,38,5472,4925,148,493,4828,4841,29,10503,In-Store,Completed,2024-01-12,2024-01-15,Returning,2008
01-0000001-0007266-1-010503,2022-05-19,01-0000001,44,38,20064,18058,542,1083,7253,7266,1,10503,In-Store,Completed,2024-01-13,2024-01-17,New,2009
02-0000003-0008109-1-010503,2022-05-20,02-0000003,44,38,20064,18058,361,1445,8096,8109,2,10503,Online,Completed,2024-01-15,2024-01-18,VIP,2010
07-0000001-0006261-1-010503,2023-10-30,07-0000001,44,38,20064,18058,1806,1083,6248,6261,7,10503,Mobile App,Pending,-,-,Returning,2011
32-0000004-0003710-1-010503,2022-03-31,32-0000004,21,38,9576,8619,862,517,3697,3710,32,10503,Online,Completed,2024-01-18,2024-01-22,Business,2012
36-0000001-0003794-1-010503,2022-08-13,36-0000001,21,38,9576,8619,431,603,3781,3794,36,10503,In-Store,Completed,2024-01-19,2024-01-23,VIP,2013
12-0000010-0001603-1-010503,2022-08-28,12-0000010,21,38,9576,8619,259,690,1590,1603,12,10503,Online,Returned,2024-01-21,2024-01-24,Returning,2014
04-0000004-0004950-1-010503,2023-05-11,04-0000004,21,38,9576,8619,345,431,4937,4950,4,10503,Mobile App,Completed,2024-01-22,2024-01-26,New,2015
18-0000001-0003407-1-010503,2023-06-12,18-0000001,21,38,9576,8619,172,603,3394,3407,18,10503,Online,Completed,2024-01-24,2024-01-28,Returning,2016
34-0000005-0003984-1-010503,2022-02-16,34-0000005,30,38,13680,12312,369,616,3971,3984,34,10503,In-Store,Completed,2024-01-25,2024-01-29,VIP,2017
36-0000001-0003993-1-010503,2022-08-01,36-0000001,30,38,13680,12312,246,985,3980,3993,36,10503,In-Store,Completed,2024-01-26,2024-01-30,New,2018
22-0000001-0004797-1-010503,2023-06-05,22-0000001,30,38,13680,12312,1231,739,4784,4797,22,10503,Online,Completed,2024-01-28,2024-02-01,Business,2019
39-0000001-0007610-1-010503,2023-10-22,39-0000001,30,38,13680,12312,246,739,7597,7610,39,10503,Mobile App,Completed,2024-01-29,2024-02-02,Returning,2020
12-0000008-0003307-1-010503,2022-09-22,12-0000008,7,38,3192,2873,57,259,3294,3307,12,10503,Online,Completed,2024-02-01,2024-02-05,New,2021
29-0000004-0005322-1-010503,2022-10-03,29-0000004,7,38,3192,2873,144,144,5309,5322,29,10503,Mobile App,Completed,2024-02-02,2024-02-06,VIP,2022
01-0000003-0001956-1-010503,2023-06-08,01-0000003,7,38,3192,2873,115,144,1943,1956,1,10503,In-Store,Pending,-,-,Returning,2023
21-0000006-0001043-1-010503,2023-07-03,21-0000006,7,38,3192,2873,144,201,1032,1043,21,10503,Online,Completed,2024-02-04,2024-02-08,Business,2024
21-0000006-0001180-1-010503,2022-04-26,21-0000006,39,38,17784,16006,480,1120,1169,1180,21,10503,Mobile App,Canceled,-,-,New,2025
02-0000004-0005534-1-010503,2022-11-08,02-0000004,39,38,17784,16006,800,1601,5521,5534,2,10503,In-Store,Completed,2024-02-06,2024-02-10,VIP,2026
32-0000001-0005033-1-010503,2022-10-21,32-0000001,16,38,7296,6567,131,394,5020,5033,32,10503,Online,Completed,2024-02-07,2024-02-11,Returning,2027
03-0000001-0001461-1-010503,2023-07-30,03-0000001,16,38,7296,6567,657,657,1448,1461,3,10503,Online,Returned,2024-02-08,2024-02-12,New,2028
38-0000001-0004677-1-010503,2023-09-08,38-0000001,16,38,7296,6567,197,657,4664,4677,38,10503,Mobile App,Completed,2024-02-09,2024-02-13,VIP,2029
38-0000001-0003856-1-010503,2022-01-04,38-0000001,48,38,21888,19700,394,1576,3843,3856,38,10503,In-Store,Completed,2024-02-10,2024-02-14,Business,2030
06-0000001-0006574-1-010503,2023-02-08,06-0000001,48,38,21888,19700,788,1182,6561,6574,6,10503,Online,Completed,2024-02-12,2024-02-16,Returning,2031
13-0000001-0006742-1-010503,2023-09-10,13-0000001,48,38,21888,19700,788,1970,6729,6742,13,10503,Mobile App,Completed,2024-02-13,2024-02-17,New,2032
35-0000001-0007382-1-010503,2022-03-23,35-0000001,25,38,11400,10260,513,923,7369,7382,35,10503,In-Store,Canceled,-,-,VIP,2033
12-0000010-0003317-1-010503,2022-11-24,12-0000010,2,38,912,821,57,82,3304,3317,12,10503,Online,Completed,2024-02-15,2024-02-19,Business,2034
13-0000001-0005066-1-010503,2022-01-14,13-0000001,34,38,15504,13954,1395,1116,5053,5066,13,10503,Mobile App,Completed,2024-02-16,2024-02-20,Returning,2035
08-0000001-0004866-1-010503,2022-05-26,08-0000001,34,38,15504,13954,419,1256,4853,4866,8,10503,In-Store,Pending,-,-,New,2036
04-0000004-0006851-1-010503,2023-04-23,04-0000004,34,38,15504,13954,1395,977,6838,6851,4,10503,Online,Completed,2024-02-18,2024-02-22,VIP,2037
04-0000003-0008149-1-010503,2024-01-24,04-0000003,34,38,15504,13954,698,1395,8136,8149,4,10503,Mobile App,Completed,2024-02-19,2024-02-23,Business,2038
01-0000030-0000079-1-010503,2022-01-17,01-0000030,11,38,5016,4515,90,361,76,79,1,10503,In-Store,Returned,2024-02-20,2024-02-24,Returning,2039
21-0000005-0000767-1-010503,2023-08-22,21-0000005,11,38,5016,4515,135,361,756,767,21,10503,Online,Completed,2024-02-21,2024-02-25,New,2040
18-0000006-0000626-1-010503,2022-09-30,18-0000006,43,38,19608,17648,529,1059,615,626,18,10503,Mobile App,Completed,2024-02-22,2024-02-26,VIP,2041
01-0000048-0007814-1-010503,2023-02-27,01-0000048,43,38,19608,17648,529,1765,7801,7814,1,10503,In-Store,Completed,2024-02-23,2024-02-27,Business,2042
01-0000059-0001254-1-010503,2023-11-02,01-0000059,43,38,19608,17648,529,882,1243,1254,1,10503,Online,Canceled,-,-,Returning,2043
03-0000001-0001526-1-010503,2022-01-10,03-0000001,20,38,9120,8208,164,657,1513,1526,3,10503,Mobile App,Completed,2024-02-25,2024-02-29,New,2044
04-0000003-0002688-1-010503,2023-04-27,04-0000003,20,38,9120,8208,410,492,2675,2688,4,10503,In-Store,Completed,2024-02-26,2024-03-01,VIP,2045
